date,spot_open,close,iv_realized,em,short_put,long_put,short_call,long_call,net_credit,max_risk,settlement_value,pnl
2026-03-18,668.36,661.43,0.12298241923852794,2.236148312359567,666.0,664.0,671.0,672.0,0.22612991524041703,177.38700847595828,2.0,-177.38700847595828
2026-03-19,656.97,659.8,0.12929218894588512,2.3108137811959266,654.0,653.0,660.0,661.0,0.13286793738611635,86.71320626138836,0.0,13.286793738611635
2026-03-20,656.51,648.57,0.12927948995079722,2.308968978230987,654.0,652.0,659.0,661.0,0.28301600420671313,171.69839957932868,2.0,-171.69839957932868
2026-03-23,658.07,655.38,0.13547014011205358,2.4252850800294468,655.0,654.0,661.0,662.0,0.15214252841413511,84.78574715858649,0.0,15.214252841413511
2026-03-24,651.32,653.18,0.14069713288068875,2.4930258637181923,648.0,647.0,654.0,656.0,0.21618197577328857,178.38180242267114,0.0,21.618197577328857
2026-03-25,658.67,656.82,0.136408789917525,2.4443160646842172,656.0,654.0,662.0,663.0,0.20216179817160906,179.7838201828391,0.0,20.216179817160906
2026-03-26,652.06,645.09,0.13372614060360627,2.372198313895335,649.0,648.0,655.0,656.0,0.1432610418862552,85.67389581137448,1.0,-85.67389581137448
2026-03-27,642.5,634.09,0.14417459251244236,2.520049009825724,639.0,638.0,646.0,647.0,0.11482535701828667,88.51746429817133,1.0,-88.51746429817133
2026-03-30,640.11,631.97,0.15235378827204576,2.6531083822748176,637.0,635.0,643.0,645.0,0.28237770371240956,171.76222962875903,2.0,-171.76222962875903
2026-03-31,638.94,650.34,0.15145038704175168,2.6325558122889228,636.0,634.0,642.0,644.0,0.275695068105712,172.4304931894288,2.0,-172.4304931894288
2026-04-01,653.9,655.24,0.1896377001225528,3.3735188363148216,650.0,648.0,658.0,660.0,0.2883601179153388,171.16398820846612,0.0,28.836011791533878
2026-04-02,646.42,655.83,0.18995382672741487,3.340488295217838,642.0,641.0,651.0,652.0,0.13597353593501893,86.4026464064981,1.0,-86.4026464064981
2026-04-06,655.86,658.93,0.189828008285031,3.387026215814601,652.0,650.0,660.0,662.0,0.29176236592191884,170.82376340780812,0.0,29.176236592191884
2026-04-07,656.65,659.22,0.186315616714723,3.3283602706621584,652.0,651.0,661.0,662.0,0.13498762430186773,86.50123756981323,0.0,13.498762430186773
2026-04-08,676.39,676.01,0.18286530404298443,3.364926737227921,672.0,671.0,681.0,682.0,0.13889525871706354,86.11047412829365,0.0,13.889525871706354
2026-04-09,674.84,679.91,0.20574557817548722,3.7772736529410893,670.0,668.0,680.0,681.0,0.1928124728816769,180.7187527118323,0.0,19.28124728816769
2026-04-10,681.32,679.46,0.20671895165977427,3.83158579050978,677.0,675.0,686.0,688.0,0.3123305167709809,168.7669483229019,0.0,31.23305167709809
2026-04-13,677.41,686.1,0.198465579146045,3.6574965207133485,673.0,671.0,682.0,684.0,0.2750665310741027,172.49334689258973,2.0,-172.49334689258973
2026-04-14,687.69,694.46,0.19912672925736585,3.725369819177155,683.0,681.0,692.0,694.0,0.2903913906742943,170.96086093257057,2.0,-170.96086093257057
2026-04-15,695.26,699.94,0.20035338674627048,3.7895797807862848,691.0,689.0,700.0,702.0,0.3041093990566459,169.58906009433542,0.0,30.41093990566459
2026-04-16,701.06,701.66,0.20147521485505465,3.8425890291585336,696.0,694.0,706.0,708.0,0.24529414505689573,175.47058549431043,0.0,24.529414505689573
2026-04-17,706.14,710.14,0.19220115535259774,3.692274063439275,702.0,700.0,711.0,713.0,0.28554413910318743,171.44558608968126,0.0,28.554413910318743
2026-04-20,708.78,708.72,0.19365322000791887,3.7340772595750247,704.0,702.0,713.0,715.0,0.2935158134319771,170.64841865680228,0.0,29.351581343197708
2026-04-21,710.28,704.08,0.17892642197259087,3.4574124039246956,706.0,704.0,715.0,716.0,0.19691681979032438,180.30831802096756,1.919999999999959,-172.30831802096347
2026-04-22,709.15,711.21,0.1815192869975465,3.50193440162773,705.0,703.0,714.0,715.0,0.20928235416981877,179.07176458301814,0.0,20.928235416981877
2026-04-23,709.5,708.45,0.1809654824971027,3.492973310681886,705.0,703.0,714.0,716.0,0.24063836874774225,175.9361631252258,0.0,24.063836874774225
2026-04-24,710.75,713.94,0.18315717515513297,3.541505556313422,706.0,705.0,715.0,717.0,0.21460217768924394,178.5397822310756,0.0,21.460217768924394
2026-04-27,713.17,715.17,0.16433920039992145,3.188462825854698,709.0,708.0,717.0,719.0,0.2097726696131339,179.02273303868662,0.0,20.97726696131339
2026-04-28,711.815,711.69,0.14262257353926489,2.7618655107763046,708.0,707.0,715.0,717.0,0.1997830320888454,180.02169679111546,0.0,19.97830320888454
2026-04-29,711.0,711.58,0.1440502370872624,2.78631812808124,708.0,706.0,714.0,716.0,0.31971594773533596,168.02840522646642,0.0,31.971594773533596
2026-04-30,714.63,718.66,0.11768751023540192,2.288014336327768,712.0,711.0,717.0,719.0,0.2423523460330408,175.7647653966959,1.6599999999999682,-141.76476539669272
2026-05-01,721.25,720.65,0.11880038514554427,2.3310457496075276,718.0,717.0,724.0,725.0,0.13886955818120583,86.11304418187942,0.0,13.886955818120583
2026-05-04,720.07,718.01,0.1182089136971699,2.3156454560282174,717.0,716.0,723.0,724.0,0.13397845417228282,86.60215458277172,0.0,13.397845417228282
2026-05-05,721.77,723.77,0.12189629671141732,2.3935166942071837,719.0,718.0,725.0,726.0,0.14806242201760256,85.19375779823974,0.0,14.806242201760256
2026-05-06,728.16,733.83,0.12167677659900607,2.4103584739422685,725.0,724.0,731.0,732.0,0.15053894890373343,84.94610510962666,1.0,-84.94610510962666
2026-05-07,735.05,731.58,0.10130800044737627,2.0258521558832796,733.0,732.0,738.0,739.0,0.15124304517727083,84.87569548227292,1.0,-84.87569548227292
2026-05-08,734.93,737.62,0.1042030440126864,2.0834040497812603,732.0,731.0,738.0,739.0,0.0961828743299904,90.38171256700096,0.0,9.61828743299904
